Id,AnswerCount,Score,Ratio
1,13,57,0.23
6,4,5,0.8
9,4,3,1.33
10,9,8,1.12
11,2,3,0.67
13,5,7,0.71
16,3,2,1.5
20,5,11,0.45
25,18,36,0.5
30,4,10,0.4
31,6,24,0.25
35,10,41,0.24
40,1,1,1.0
55,8,13,0.62
62,4,1,4.0
65,7,25,0.28
72,4,7,0.57
73,12,16,0.75
82,5,25,0.2
83,9,4,2.25
85,7,22,0.32
86,7,12,0.58
88,10,103,0.1
90,7,17,0.41
96,5,31,0.16
97,5,12,0.42
100,2,2,1.0
102,121,73,1.66
104,12,97,0.12
112,3,15,0.2
114,13,28,0.46
116,1,16,0.06
125,7,108,0.06
128,4,7,0.57
129,4,7,0.57
133,2,7,0.29
135,19,105,0.18
139,9,10,0.9
152,4,5,0.8
156,2,3,0.67
171,3,2,1.5
172,2,6,0.33
176,6,6,1.0
182,6,6,1.0
189,1,1,1.0
193,3,7,0.43
194,8,7,1.14
195,1,0,1.0
197,3,28,0.11
198,9,22,0.41
202,9,8,1.12
223,2,0,2.0
224,1,2,0.5
230,6,9,0.67
234,4,13,0.31
239,5,2,2.5
240,3,0,3.0
256,4,1,4.0
266,3,1,3.0
270,6,5,1.2
278,6,16,0.38
287,4,3,1.33
288,3,1,3.0
293,3,4,0.75
296,9,26,0.35
299,4,1,4.0
304,1,0,1.0
311,5,10,0.5
331,1,3,0.33
333,6,22,0.27
334,9,14,0.64
345,4,1,4.0
350,1,0,1.0
354,7,16,0.44
357,4,7,0.57
363,7,4,1.75
365,7,32,0.22
378,2,2,1.0
382,2,12,0.17
392,11,59,0.19
396,4,3,1.33
406,2,6,0.33
418,3,13,0.23
424,1,1,1.0
431,13,55,0.24
434,3,2,1.5
442,1,36,0.03
443,3,21,0.14
450,3,6,0.5
455,3,1,3.0
456,2,6,0.33
459,10,63,0.16
467,4,7,0.57
468,5,6,0.83
469,3,15,0.2
473,5,8,0.62
474,1,0,1.0
477,3,13,0.23
481,17,21,0.81
493,14,25,0.56
504,4,25,0.16
509,9,13,0.69
515,10,16,0.62
528,8,2,4.0
529,4,4,1.0
531,5,46,0.11
534,7,1,7.0
547,4,26,0.15
552,9,7,1.29
555,12,55,0.22
556,4,1,4.0
570,4,9,0.44
587,2,8,0.25
593,5,9,0.56
596,5,3,1.67
599,9,13,0.69
604,1,8,0.12
614,3,15,0.2
623,13,45,0.29
636,17,3,5.67
654,13,-2,-6.5
666,4,30,0.13
675,7,11,0.64
684,4,5,0.8
686,10,29,0.34
700,11,31,0.35
715,9,8,1.12
718,1,1,1.0
726,3,2,1.5
731,6,8,0.75
738,1,0,1.0
741,4,2,2.0
747,5,106,0.05
752,11,16,0.69
753,3,1,3.0
762,8,52,0.15
774,8,3,2.67
778,3,1,3.0
779,4,3,1.33
790,7,2,3.5
793,3,3,1.0
798,5,1,5.0
815,5,6,0.83
817,3,-4,-0.75
824,6,8,0.75
832,2,0,2.0
841,2,6,0.33
842,4,4,1.0
849,9,8,1.12
853,1,3,0.33
863,2,11,0.18
865,4,113,0.04
868,6,4,1.5
870,1,3,0.33
879,4,9,0.44
882,2,11,0.18
883,1,7,0.14
886,18,50,0.36
896,18,150,0.12
902,1,1,1.0
904,2,0,2.0
906,3,7,0.43
912,3,5,0.6
913,2,8,0.25
915,11,147,0.07
